Categoria,Identificador,Nombre,Latitud,Longitud,Domicilio,CD ORIGEN,Turnos,RUTA,FORMATO,DIAS SUGERIDO,VIAJES,TRANSPORTE
Express - AMBA,388,388 - Super Alte. Segui 849 - TT,-34.798651,"-58,3953488",Alte. Segui nro. 849,E.Echeverria,primera_ventana,Zona_06_BSAS_GBA_Sur,Express,LXV,,
Interior,289,289 - Lujan de Cuyo - TT,-33.036901,"-68,8784945",null,E.Echeverria,primera_ventana,Zona_06_Interior_Mendoza_SanJuan,Market,MJ,,
Interior,287,287 - Suipacha - TT,-32.877776,"-68,8553953",SUIPACHA - 556,E.Echeverria,primera_ventana,Zona_06_Interior_Mendoza_SanJuan,Market,MJ,,
Interior,290,290 - Bombal - TT,-32.903767,"-68,8523912",BELTRAN - 1858,E.Echeverria,primera_ventana,Zona_06_Interior_Mendoza_SanJuan,Market,MJ,,
Interior,283,283 - Las Heras - TT,-32.885309,"-68,8420808",AV. LAS HERAS - 316,E.Echeverria,primera_ventana,Zona_06_Interior_Mendoza_SanJuan,Market,MJ,,
Interior,184,184 - Santa Rosa (Spinetto) - TT,-36.603979,"-64,2804694",AV. SPINETTO NRO 1230,E.Echeverria,primera_ventana,Zona_10_Interior_LaPampa,Market,MJ,,
CD,957,957 - CD TORTUGUITAS,-34.450246,"-58,7060559",Av. Otto Krause 5108,Tortuguitas,primera_ventana,,CD,n/a,,
Express - AMBA,196,196 - Proxi Av. Corrientes 3651,-34.603991,"-58,4162413",AV. CORRIENTES 3651,E.Echeverria,primera_ventana,Zona_Express_13_BSAS_Capital_Caballito_Flores_Almagro_Boedo,Express,MJV,,
Express - AMBA,199,199 - Proxi Av. Cordoba 1439,-34.599389,"-58,3875516",AV.CORDOBA 1439,E.Echeverria,primera_ventana,Zona_Express_10_BSAS_Capital_Reco_Balv_SanCrist,Express,LXV,,
Express - AMBA,200,200 - Proxi Av. Rivadavia 8421,-34.633689,"-58,4819546",AV.RIVADAVIA 8419,E.Echeverria,segunda_ventana,Zona_Express_12_BSAS_Capital_Oeste,Express,LXV,,
Express - AMBA,213,213 - Proxi Paraguay 919,-34.597668,"-58,3804566",AV. PARAGUAY 919,E.Echeverria,primera_ventana,Zona_Express_08_BSAS_Capital_Montserrat_SanNicolas_Retiro,Express,MJV,,
Express - AMBA,247,247 - Proxi Av. La Plata 430,-34.620018,"-58,4282327",AV. LA PLATA 428430,E.Echeverria,primera_ventana,Zona_Express_13_BSAS_Capital_Caballito_Flores_Almagro_Boedo,Express,LXV,,
Express - AMBA,251,251 - Proxi Arce 730,-34.568784,"-58,4347612",ARCE 730,Malvinas,primera_ventana,Zona_Express_14_BSAS_Capital_Palermo_Belgrano_Chacar_VUrquiz,Express,LXV,,
Express - AMBA,260,260 - Proxi Las Heras 2397,-34.586355,"-58,3986533",AV. LAS HERAS 23972399,E.Echeverria,primera_ventana,Zona_Express_10_BSAS_Capital_Reco_Balv_SanCrist,Express,LMJV,,
